id_igralca,id_filma,vloga
0821041,0047086,I
0012443,0047086,I
0365201,0047086,I
0628579,0047086,I
0108406,0047086,I
0446769,0047086,I
0085782,0047086,I
0084098,0047086,I
0327602,0047086,I
0397397,0047086,I
0114878,0047086,I
0132930,0047086,I
0233352,0047086,I
0702798,0047086,I
0280707,0047086,I
0920074,0047086,R
0916067,0047580,I
0570192,0047580,I
0676492,0047580,I
0431139,0047580,I
0573704,0047580,I
0106387,0047580,I
0820643,0047580,I
0321469,0047580,I
0626350,0047580,I
0026039,0047580,I
0036530,0047580,I
0093245,0047580,I
0108937,0047580,I
0144934,0047580,I
0174188,0047580,I
0180679,0047580,I
0210108,0047580,I
0479080,0047580,I
0624535,0047580,R
0000015,0048028,I
0557339,0048028,I
0364915,0048028,I
0412322,0048028,I
0202501,0048028,I
0886888,0048028,I
0215260,0048028,I
0809135,0048028,I
0330241,0048028,I
0219528,0048028,I
0007808,0048028,I
0016251,0048028,I
0021009,0048028,I
0034701,0048028,I
0048448,0048028,I
0062642,0048028,I
0073217,0048028,I
0112062,0048028,I
0001415,0048028,R
0000308,0048356,I
0086198,0048356,I
0591034,0048356,I
0162557,0048356,I
0544064,0048356,I
0824606,0048356,I
0661577,0048356,I
0068257,0048356,I
0068289,0048356,I
0073217,0048356,I
0110318,0048356,I
2368487,0048356,I
0116985,0048356,I
0133802,0048356,I
0154665,0048356,I
0170106,0048356,I
0112392,0048356,I
2755102,0048356,I
0542720,0048356,R
0000020,0048380,I
0000010,0048380,I
0001635,0048380,I
0000493,0048380,I
0658133,0048380,I
0000955,0048380,I
0137023,0048380,I
0011244,0048380,I
0520164,0048380,I
0193411,0048380,I
0730123,0048380,I
0001013,0048380,I
0915618,0048380,I
0018173,0048380,I
0028872,0048380,I
0032058,0048380,I
0597225,0048380,I
0440203,0048380,I
0000406,0048380,R
0503777,0048380,R
0517597,0048380,R
0000026,0048728,I
0000038,0048728,I
0484829,0048728,I
0002369,0048728,I
0889024,0048728,I
0041270,0048728,I
0553361,0048728,I
0031708,0048728,I
0012438,0048728,I
0017580,0048728,I
0051377,0048728,I
0086994,0048728,I
0064416,0048728,I
0096618,0048728,I
0101640,0048728,I
0106737,0048728,I
0108291,0048728,I
0112201,0048728,I
0000033,0048728,R
