id_filma,id_igralca,vloga
0059145,2742509,I
0059145,0438356,R
0058410,2398677,I
0058410,2105787,I
0058410,2401441,I
0058410,0346549,R
0061192,1558246,I
0061192,0137011,R
0061192,0852624,R
0061138,0000733,I
0061138,0004462,I
0061138,0056435,I
0061138,0500988,R
0061184,0000072,I
0061184,0000009,I
0061184,0001719,I
0061184,0001566,R
0060665,0006890,I
0060665,0384908,I
0060665,0001727,I
0060665,0003593,R
0060424,0000493,I
0060424,0000527,I
0060424,0723707,I
0060424,0000697,R
0059894,0039629,I
0059894,0334249,I
0059894,3907417,I
0059894,0914386,R
0060438,0609216,I
0060438,0799014,I
0060438,0000036,I
0060438,0504513,R
0060472,0001258,I
0060472,0001693,I
0060472,0598971,I
0060472,0001239,R
0060397,0000963,I
0060397,0000079,I
0060397,0639529,I
0060397,0281507,R
0060182,0571441,I
0060182,0871272,I
0060182,0444584,I
0060182,0384342,R
0060182,0569710,R
0060802,0623948,I
0060802,0814162,I
0060802,0111003,I
0060802,0579954,R
0060503,0399524,R
0061205,0000056,I
0061205,0506396,R
0061722,0000163,I
0061722,0000843,I
0061722,0001684,I
0061722,0001566,R
0061578,0001511,I
0061578,0000308,I
0061578,0000314,I
0061578,0000736,R
0061418,0000886,I
0061418,0001159,I
0061418,0689488,I
0061418,0671957,R
0061512,0000056,I
0061512,0001421,I
0061512,0001510,I
0061512,0742341,R
0061811,0001627,I
0061811,0001768,I
0061811,0643105,I
0061811,0422484,R
0061735,0000075,I
0061735,0001627,I
0061735,0000031,I
0061735,0006452,R
0063462,0609216,I
0063462,0000698,I
0063462,0790071,I
0063462,0000316,R
0061439,0001321,I
0061439,0000603,I
0061439,0626259,I
0061439,0517597,R
0062362,0000267,I
0062362,0289038,I
0062362,0001546,I
0062362,0001351,R
0061584,0001322,I
0061584,0002058,I
0061584,0627969,I
0061584,0281507,R
0062244,8714300,I
0062244,0926183,I
0062244,0006954,R
0062131,0152326,R
0061421,0937747,R
0062184,7403185,I
0062184,0877937,I
0062184,0339401,R
0062622,0001158,I
0062622,0516972,I
0062622,0843213,I
0062622,0000040,R
0063522,0001201,I
0063522,0001023,I
0063522,0002106,I
0063522,0000591,R
0063442,0000032,I
0063442,0001522,I
0063442,0001375,I
0063442,0769874,R
0062765,0000537,I
0062765,0000302,I
0062765,0001816,I
0062765,0946811,R
0063518,0926013,I
0063518,0001377,I
0063518,0568491,I
0063518,0001874,R
0063385,0504492,I
0063385,0600531,I
0063385,0908861,I
0063385,0715346,R
0063227,0000564,I
0063227,0000031,I
0063227,0000164,I
0063227,0367431,R
0063688,0000537,I
0063688,0001159,I
0063688,0121826,I
0063688,0422484,R
0062994,0000659,I
0062994,0001725,I
0062994,0575552,I
0062994,0943758,R
0062794,0731772,I
0062794,0001954,I
0062794,0803785,I
0062794,0625680,R
0063819,0001982,I
0063819,0001359,I
0063819,0275835,I
0063819,0718627,R
0063819,0789313,R
0063654,0623658,I
0063654,0016776,I
0063654,0000640,I
0063654,0343260,R
0063804,0361048,I
0063804,4291653,I
0063804,0000866,R
0063514,0000009,I
0063514,0448305,I
0063514,0346549,R
0064665,0000163,I
0064665,0000685,I
0064665,0587249,I
0064665,0772259,R
0064115,0000056,I
0064115,0000602,I
0064115,0001684,I
0064115,0001351,R
0065126,0000078,I
0065126,0200981,I
0065126,0004794,I
0065126,0368871,R
0066579,0000869,I
0066579,0001657,I
0066579,0413559,I
0066579,0001692,R
0064418,0000659,I
0064418,0000527,I
0064418,0186903,I
0064418,0000037,R
0065088,0000404,I
0065088,0765546,I
0065088,0948772,I
0065088,0001628,R
0065234,0598971,I
0065234,0660327,I
0065234,0004462,I
0065234,0002020,R
0064117,0000527,I
0064117,0000006,I
0064117,0000443,I
0064117,0757256,R
0064840,0001749,I
0064840,0413561,I
0064840,0827137,I
0064840,0623768,R
0064030,0000009,I
0064030,0000991,I
0064030,0660327,I
0064030,0418986,R
0064639,0000060,I
0064639,0001077,I
0064639,0418148,I
0064639,0836328,R
0064504,0125651,I
0064504,0048147,I
0064504,0256223,I
0064504,0453832,R
0064043,0748256,I
0064043,1224076,I
0064043,1330725,I
0064043,0665964,R
0064043,0717025,R
0064200,0108348,I
0064200,0150196,I
0064200,0239213,I
0064200,0294354,R
0064200,0761522,R
0063160,6169903,I
0063160,6169902,I
0063160,15157086,I
0063160,0569006,R
0064623,1595439,I
0064623,0193267,R
0066026,0000661,I
0066026,0001285,I
0066026,0000643,I
0066026,0000265,R
0065377,0000044,I
0065377,0001509,I
0065377,0001421,I
0065377,0780833,R
0065377,0368871,R
0066206,0001715,I
0066206,0001500,I
0066206,0950079,I
0066206,0769874,R
0066011,0532298,I
0066011,0641939,I
0066011,0549134,I
0066011,0002137,R
0066473,0000842,I
0066473,0945522,I
0066473,0001673,I
0066473,0281507,R
0066473,0297935,R
0066473,0557927,R
0066319,0000053,I
0066319,0002145,I
0066319,0590055,I
0066319,0000180,R
0065593,0001321,I
0065593,0000027,I
0065593,0605923,I
0065593,0400731,R
0066580,0001926,I
0066580,0369784,I
0066580,0002032,I
0066580,0905579,R
0065976,0006168,I
0065976,0005200,I
0065976,0365600,I
0065976,0512327,R
0065889,0002231,I
0065889,0093030,I
0065889,0764369,I
0065889,0677880,R
0065777,0761212,I
0065777,0135320,I
0065777,0000918,I
0065777,0001120,R
0066016,0949574,I
0066016,0037735,I
0066016,0000889,I
0066016,0397220,R
0066294,0186844,I
0066294,0363524,I
0066294,0404046,I
0066294,0737992,R
0065901,0000080,I
0065901,0354888,I
0065901,0592767,R
0067093,0867694,I
0067093,0186408,I
0067093,0294600,I
0067093,0422484,R
0067116,0000432,I
0067116,0001702,I
0067116,0721073,I
0067116,0001243,R
0067328,0000961,I
0067328,0000313,I
0067328,0001732,I
0067328,0000953,R
0067309,0000404,I
0067309,0000661,I
0067309,0162541,I
0067309,0001587,R
0066817,0001450,I
0066817,0866835,I
0066817,0001522,I
0066817,0829038,R
0066817,0453832,R
0067741,0745780,I
0067741,0348214,I
0067741,0162541,I
0067741,0662953,R
0067803,0642198,I
0067803,0342201,I
0067803,0396749,I
0067803,0612322,R
0067483,0419785,I
0067483,0840531,I
0067483,0633661,I
0067483,0769874,R
0067217,0001715,I
0067217,0001671,I
0067217,0400464,I
0067217,0002137,R
0067197,0696303,I
0067197,0141543,I
0067197,0574534,I
0067197,0338396,R
0067197,0818527,R
0068373,0799237,I
0068373,0714878,I
0068373,0371156,I
0068373,0931530,R
0065894,2426072,I
0065894,0834334,R
0067733,0001544,I
0067733,0000080,I
0067733,0025374,R
0066959,0561752,I
0066959,0677726,R
0068646,0000008,I
0068646,0000199,I
0068646,0001001,I
0068646,0000338,R
0068327,0591485,I
0068327,0001868,I
0068327,0340926,I
0068327,0002080,R
0069113,0000432,I
0069113,0000308,I
0069113,0001859,I
0069113,0623768,R
0068334,0000602,I
0068334,0001967,I
0068334,0002048,I
0068334,0006916,R
0068361,0721073,I
0068361,0786891,I
0068361,0291289,I
0068361,0000320,R
0069467,0027683,I
0069467,0880521,I
0069467,0843306,I
0069467,0000005,R
0069404,0001749,I
0069404,0566680,I
0069404,0001283,I
0069404,0002030,R
0068326,0000443,I
0068326,0001902,I
0068326,0373012,I
0068326,0441501,R
0068924,13557317,I
0068924,0331374,I
0068924,13557316,I
0068924,0449576,R
0068924,0808474,R
0069373,0401101,R
0069020,0734347,I
0069020,0221988,R
0070047,0000995,I
0070047,0001884,I
0070047,0000304,I
0070047,0001243,R
0070735,0000056,I
0070735,0000602,I
0070735,0001727,I
0070735,0001351,R
0070510,0641939,I
0070510,0001575,I
0070510,0001404,I
0070510,0000953,R
0070903,0000659,I
0070903,0000602,I
0070903,0226947,I
0070903,0001628,R
0071129,0637649,I
