id,naslov,ocena,cas,leto,oznaka,opis,cena,zasluzek
0048980,Le ballon rouge,8.1,34,1956,Not Rated,A red balloon with a mind of its own follows a little boy around the streets of Paris.,,48980
0049777,The Solid Gold Cadillac,7.5,99,1956,Approved,A minority stockholder takes on the crooked board of directors at a billion dollar corporation.,,
0049518,Le monde du silence,6.9,86,1956,,A documentary about the undersea explorers and how they penetrate into the underwater world.,,
0049030,The Brave One,6.5,100,1956,Approved,"A young boy named Leonardo adopts a bull after saving it during a storm, but their friendship is soon threatened by the legal owners of the animal who claim ownership of it and ship it off to the bullring to face a legendary bullf...",,
0049510,Magoo&#x27;s Puddle Jumper,5.4,6,1956,,"At a used car lot, Mr. Magoo is intent on buying a car for his nephew Waldo. He is slick talked into buying an old clunker thanks to a shifty salesman but he drives it off anyway. Unfortunately, the myopic Magoo drives off a pier ...",,
0049102,Crashing the Water Barrier,5.9,9,1956,Approved,"This Oscar-winning short documentary follows the exploits of Donald Campbell on Lake Mead, Nevada in his boat Bluebird as he attempts to be the first to successfully set a water speed record in excess of 200 mph.",,
0048049,The Face of Lincoln,6.2,20,1956,,"Head of the sculpture dpeartment at USC when this film was made (by USC), Merrell Gage was a lifelong expert on Abraham Lincoln. This short was a lecture often given by Gage, using wet clay to depict the on-going changes to Abe&apos;s ...",,
0050212,Most na reki Kwai,8.1,161,1957,PG,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",3000000,27201366
0050783,Cabirijine noči,8.1,110,1957,Not Rated,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,,770764
0050356,Obračun na Atlantiku,7.4,98,1957,Approved,"During WWII an American destroyer discovers a German U-boat, and in the ensuing duel the American captain must draw upon all his experience to defeat the equally experienced German commander.",1910000,
0050933,Sayonara,7.0,147,1957,Approved,A US Air Force major in Kobe confronts his own opposition to marriages between American servicemen and Japanese women after he falls for a beautiful performer.,,
0051077,The Three Faces of Eve,7.2,91,1957,Approved,A doctor treats a woman suffering from Multiple Personality Disorder.,965000,
0050306,Designing Woman,6.7,118,1957,Approved,"A sportswriter and a fashion-designer marry after a whirlwind romance, and discover they have little in common.",,
0050631,Les Girls,6.6,114,1957,Approved,The former members of a dance troupe are suing because of recently published memoirs. Each one insists on own point of view.,,
0050569,The Joker Is Wild,7.0,126,1957,Approved,"Frank Sinatra plays Joe E. Lewis, a famous comedian of the 1930s-50s. When the movie opens, Lewis is a young, talented singer who performs in speakeasies. After he bolts one job for another, the mob boss who owns the first speakea...",,
0050194,Birds Anonymous,7.5,7,1957,Approved,"When Sylvester learns of the possibly dire consequences of his passion for birds, he joins Birds Anonymous to quit. Unfortunately, the outside world taxes his resolve to the limit.",,
0050109,Albert Schweitzer,6.1,85,1957,Approved,"This biographical drama/documentary narrative written by Dr. Albert Schweitzer and spoken by Fredric March, traces the life of Dr. Schweitzer (with actors playing the characters), from his birth in France up to about the age of 30...",,
0051187,The Wetback Hound,6.1,18,1957,,"Paco, a hound of exceptional heritage, is easily distracted by other animals while on the hunt.",,
0049885,The True Story of the Civil War,6.5,29,1957,,"Academy-Award winning short subject documentary that chronicles the Civil War through nearly 400 authentic artifacts, as opposed to using actors or sets.",,
0052225,South Pacific,6.8,157,1958,Approved,"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who&apos;s being courted for a dangerous military mission.",6000000,476564
0051411,The Big Country,7.9,166,1958,Approved,"A New England sea captain in the 1880s arrives at his fiancée&apos;s sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.",,
0052182,Separate Tables,7.4,100,1958,Approved,The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at &quot;Separate Tables.&quot;,,
0051658,Gigi,6.6,115,1958,G,"Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.",3319355,
0051525,The Defiant Ones,7.6,96,1958,Approved,"Two chained-together escaped convicts, one white and one black, must learn to get along in order to elude capture.",778000,
0050706,Moj stric,7.7,116,1958,Not Rated,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can&apos;t quite fit into the surroundings.",250000,87444
0051758,I Want to Live!,7.5,120,1958,Approved,A prostitute sentenced to death for murder pleads her innocence.,1383578,
0053226,Room at the Top,7.5,117,1958,Not Rated,An ambitious young accountant plots to wed a wealthy factory owner&apos;s daughter despite falling in love with a married older woman.,280000,
0052027,The Old Man and the Sea,6.9,86,1958,Not Rated,An old Cuban fisherman&apos;s dry spell is broken when he hooks a gigantic fish that drags him out to sea.,5000000,67740
0052427,Tom Thumb,6.4,98,1958,G,"A boy (Russ Tamblyn), no bigger than a thumb, manages to outwit two thieves (Terry-Thomas and Peter Sellers) determined to make a fortune from him.",,
0051825,Knighty Knight Bugs,7.5,6,1958,Approved,Court jester Bugs races against the Black Knight (Yosemite Sam) and his sneezing dragon in pursuit of the Singing Sword.,,14753
0052389,White Wilderness,5.3,72,1958,Approved,The wildlife of the Arctic is explored in this true-life adventure.,,
0052852,Glas,7.8,11,1958,,Documentary about Dutch glass production in the 50s.,,
0051339,Ama Girls,6.3,29,1958,G,"A depiction of the lives of &quot;ama&quot; divers, Japanese women who dive for pearls.",,
0051677,Grand Canyon,7.1,29,1958,Approved,Scenes from the Grand Canyon set to Ferde Grofé&apos;s &quot;Grand Canyon Suite.&quot;,,
0052618,Ben Hur,8.1,212,1959,G,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it&apos;s not long before he regains his freedom and comes back for revenge.",15000000,74439376
0053291,Nekateri so za vroče,8.2,121,1959,Approved,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",2883848,208786
0053172,Pillow Talk,7.4,102,1959,Approved,An interior decorator and a playboy songwriter share a telephone party line and size each other up.,,10265
0052738,The Diary of Anne Frank,7.4,180,1959,Approved,"During World War II, a teenage Jewish girl named Anne Frank and her family are forced into hiding in the Nazi-occupied Netherlands.",3800000,
0053146,Orfeu Negro,7.4,100,1959,PG,"A retelling of the Orpheus and Eurydice myth, set during the time of the Carnaval in Rio de Janeiro.",,
0052896,A Hole in the Head,6.2,120,1959,Approved,"Widower Tony is trying to keep a small Miami hotel afloat while raising a 12-year-old son. He&apos;s forced to ask his harried brother Mario for help, but he&apos;ll only bail Tony out if he quits his bohemian lifestyle and marries a sensib...",,2915
0053182,Porgy and Bess,6.9,138,1959,Not Rated,A woman whose past is scorned by nearly everyone around her meets a man who&apos;d love her regardlessly - if only everyone else would allow them to.,7000000,
0053268,Serengeti darf nicht sterben,7.8,85,1959,,The borders of the Serengeti National Park in Tanzania were initially drawn without considering the herds of grass-eating wild animals. The recording of seasonal animal movements by the film team at the end of the 1950s forms the ...,,
0053080,Moonbird,5.2,10,1959,,Two boys go outside at night to capture a bird.,,
0052855,Histoire d&#x27;un poisson rouge,6.7,19,1959,Approved,"Similar in design and technique to &quot;The Red Baloon&quot;, and winner of the 1959 International Critics Prize at the Cannes Film Festival, this is the story of a boy who has a goldfish as a pet, and the family cat has other plans for th...",,
0054331,Spartak,7.9,197,1960,PG-13,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",12000000,1855491
0053604,Apartma,8.3,125,1960,Approved,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",3000000,18783770
0053779,Sladko življenje,8.0,174,1960,Not Rated,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,,217420
0054387,The Time Machine,7.5,103,1960,G,A man&apos;s vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.,750000,5902
0053804,Exodus,6.7,208,1960,Approved,"The State of Israel is created in 1948, resulting in war with its Arab neighbors.",4000000,12634
0054195,Pollyanna,7.4,134,1960,G,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,,
0053580,The Alamo,6.8,162,1960,Approved,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",12000000,6334
0053976,Jungfrukällan,8.0,89,1960,Not Rated,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family&apos;s pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along t...",,6952
0054749,La ciociara,7.7,101,1960,Not Rated,"In WWII Italy, a widow and her lonely daughter seek distance between themselves and the horrors of war.",,14062
0053793,Elmer Gantry,7.7,146,1960,Approved,"A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.",3000000,64
0053622,BUtterfield 8,6.3,109,1960,Not Rated,"A beautiful New York model and socialite enjoys a very active night-life, but all things change when she falls for a married man and the consequences are tragic.",2800000,8722
0054198,Nikoli v nedeljo,7.3,91,1960,Not Rated,An American scholar in Greece sets about improving the prostitute with whom he is infatuated.,151000,
0054324,Song Without End,6.1,141,1960,Not Rated,"The romantic story of Hungarian pianist Franz Liszt (Sir Dirk Bogarde), whose scandalous love affair forced him to abandon his adoring audiences.",,
0053810,The Facts of Life,6.3,103,1960,Approved,Sophisticated comedy with Larry and Kitty leaving their spouses for an interlude together.,,
0054326,Sinovi in ljubimci,7.1,103,1960,Approved,A young man with artistic talent lives in a close-knit coal-mining town and finds himself inhibited by his emotionally manipulative mother.,500000,
0054993,The Horse with the Flying Tail,6.1,48,1960,G,"A palimino cow pony, through a series of owners and adventures becomes a champion mount for one of the US equestrian team.",,
0053866,Giuseppina,6.8,32,1960,,Oscar® - winning short in which a young girl observes the array of quirky characters who pass her father&apos;s rural petrol station.,,
0053753,Day of the Painter,7.6,15,1960,,An extremely funny film of abstract-expressionist painting.,,
